,Exposure Type,Readout Mode,Filter,Band,Channel,Detector,SubArray
0,MIR_IMAGE,FAST,F560W,,,MIRIMAGE,FULL
1,MIR_IMAGE,FAST,F560W,,,MIRIMAGE,BRIGHTSKY
2,MIR_IMAGE,FAST,F560W,,,MIRIMAGE,SUB256
3,MIR_IMAGE,FAST,F560W,,,MIRIMAGE,SUB128
4,MIR_IMAGE,FAST,F560W,,,MIRIMAGE,SUB64
5,MIR_IMAGE,FAST,F560W,,,MIRIMAGE,SLITLESSPRISM
6,MIR_IMAGE,FAST,F770W,,,MIRIMAGE,FULL
7,MIR_IMAGE,FAST,F770W,,,MIRIMAGE,BRIGHTSKY
8,MIR_IMAGE,FAST,F770W,,,MIRIMAGE,SUB256
9,MIR_IMAGE,FAST,F770W,,,MIRIMAGE,SUB128
10,MIR_IMAGE,FAST,F770W,,,MIRIMAGE,SUB64
11,MIR_IMAGE,FAST,F770W,,,MIRIMAGE,SLITLESSPRISM
12,MIR_IMAGE,FAST,F1000W,,,MIRIMAGE,FULL
13,MIR_IMAGE,FAST,F1000W,,,MIRIMAGE,BRIGHTSKY
14,MIR_IMAGE,FAST,F1000W,,,MIRIMAGE,SUB256
15,MIR_IMAGE,FAST,F1000W,,,MIRIMAGE,SUB128
16,MIR_IMAGE,FAST,F1000W,,,MIRIMAGE,SUB64
17,MIR_IMAGE,FAST,F1000W,,,MIRIMAGE,SLITLESSPRISM
18,MIR_IMAGE,FAST,F1130W,,,MIRIMAGE,FULL
19,MIR_IMAGE,FAST,F1130W,,,MIRIMAGE,BRIGHTSKY
20,MIR_IMAGE,FAST,F1130W,,,MIRIMAGE,SUB256
21,MIR_IMAGE,FAST,F1130W,,,MIRIMAGE,SUB128
22,MIR_IMAGE,FAST,F1130W,,,MIRIMAGE,SUB64
23,MIR_IMAGE,FAST,F1130W,,,MIRIMAGE,SLITLESSPRISM
24,MIR_IMAGE,FAST,F1280W,,,MIRIMAGE,FULL
25,MIR_IMAGE,FAST,F1280W,,,MIRIMAGE,BRIGHTSKY
26,MIR_IMAGE,FAST,F1280W,,,MIRIMAGE,SUB256
27,MIR_IMAGE,FAST,F1280W,,,MIRIMAGE,SUB128
28,MIR_IMAGE,FAST,F1280W,,,MIRIMAGE,SUB64
29,MIR_IMAGE,FAST,F1280W,,,MIRIMAGE,SLITLESSPRISM
30,MIR_IMAGE,FAST,F1500W,,,MIRIMAGE,FULL
31,MIR_IMAGE,FAST,F1500W,,,MIRIMAGE,BRIGHTSKY
32,MIR_IMAGE,FAST,F1500W,,,MIRIMAGE,SUB256
33,MIR_IMAGE,FAST,F1500W,,,MIRIMAGE,SUB128
34,MIR_IMAGE,FAST,F1500W,,,MIRIMAGE,SUB64
35,MIR_IMAGE,FAST,F1500W,,,MIRIMAGE,SLITLESSPRISM
36,MIR_IMAGE,FAST,F1800W,,,MIRIMAGE,FULL
37,MIR_IMAGE,FAST,F1800W,,,MIRIMAGE,BRIGHTSKY
38,MIR_IMAGE,FAST,F1800W,,,MIRIMAGE,SUB256
39,MIR_IMAGE,FAST,F1800W,,,MIRIMAGE,SUB128
40,MIR_IMAGE,FAST,F1800W,,,MIRIMAGE,SUB64
41,MIR_IMAGE,FAST,F1800W,,,MIRIMAGE,SLITLESSPRISM
42,MIR_IMAGE,FAST,F2100W,,,MIRIMAGE,FULL
43,MIR_IMAGE,FAST,F2100W,,,MIRIMAGE,BRIGHTSKY
44,MIR_IMAGE,FAST,F2100W,,,MIRIMAGE,SUB256
45,MIR_IMAGE,FAST,F2100W,,,MIRIMAGE,SUB128
46,MIR_IMAGE,FAST,F2100W,,,MIRIMAGE,SUB64
47,MIR_IMAGE,FAST,F2100W,,,MIRIMAGE,SLITLESSPRISM
48,MIR_IMAGE,FAST,F2550W,,,MIRIMAGE,FULL
49,MIR_IMAGE,FAST,F2550W,,,MIRIMAGE,BRIGHTSKY
50,MIR_IMAGE,FAST,F2550W,,,MIRIMAGE,SUB256
51,MIR_IMAGE,FAST,F2550W,,,MIRIMAGE,SUB128
